2016-02-26 15:35:22,328 [Worker-153] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:35:22,328 [Worker-153] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SpringRESTfull
2016-02-26 15:35:22,330 [Worker-153] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SpringRESTfull
2016-02-26 15:35:22,356 [Worker-153] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:44:12,959 [Worker-161] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:44:12,960 [Worker-161] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:44:12,962 [Worker-161] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:44:12,963 [Worker-161] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:44:42,756 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:44:42,758 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:44:42,760 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:44:42,760 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:45:59,548 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:45:59,552 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:45:59,555 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:45:59,556 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:48:10,971 [Worker-160] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:10,972 [Worker-160] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:48:10,973 [Worker-160] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:10,974 [Worker-160] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:48:13,662 [Worker-161] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:13,663 [Worker-161] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:48:13,665 [Worker-161] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:13,665 [Worker-161] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:48:17,922 [Worker-161] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:17,922 [Worker-161] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:48:17,924 [Worker-161] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:17,924 [Worker-161] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:48:21,863 [Worker-164] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:21,864 [Worker-164] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:48:21,866 [Worker-164] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:21,867 [Worker-164] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:48:26,054 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:26,055 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:48:26,057 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:26,057 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:48:28,124 [Worker-165] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:28,128 [Worker-165] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:48:28,130 [Worker-165] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:48:28,131 [Worker-165] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:49:51,997 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:49:51,998 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:49:51,999 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:49:51,999 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:49:54,726 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:49:54,727 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:49:54,729 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:49:54,730 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:49:58,444 [Worker-165] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:49:58,445 [Worker-165] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:49:58,451 [Worker-165] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:49:58,452 [Worker-165] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:50:52,989 [Worker-160] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:50:52,991 [Worker-160] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
2016-02-26 15:50:52,993 [Worker-160] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:50:52,993 [Worker-160] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/test/resources
2016-02-26 15:51:13,790 [Worker-165] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-26 15:51:13,792 [Worker-165] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/naveenkumar/Documents/EMC-WebServices/SpringRESTfull/src/main/resources
